"id","time","kemendagri_kabupaten_kode","kemendagri_kabupaten_nama","street","type","avg_location","total_records","date"
5930351,2022-07-06 00:00:00.000,"32.73",KOTA BANDUNG,Batununggal Indah 2,WEATHERHAZARD,"[107.62634049999998, -6.962361499999998]",120,2022-07-06
5930352,2022-07-06 00:00:00.000,"32.73",KOTA BANDUNG,Cibaduyut Raya,ROAD_CLOSED,"[107.59526000000004, -6.9472129999999925]",60,2022-07-06
5930353,2022-07-06 00:00:00.000,"32.73",KOTA BANDUNG,Gerbang Tol Gede Bage,ROAD_CLOSED,"[107.69057999999981, -6.959956500000006]",120,2022-07-06
5930354,2022-07-06 00:00:00.000,"32.73",KOTA BANDUNG,Jenderal Ahmad Yani,WEATHERHAZARD,"[107.65976500000006, -6.902228999999994]",60,2022-07-06
5930355,2022-07-06 00:00:00.000,"32.73",KOTA BANDUNG,KH Wahid Hasyim,ROAD_CLOSED,"[107.58966274999973, -6.945608999999994]",240,2022-07-06
5930356,2022-07-06 00:00:00.000,"32.73",KOTA BANDUNG,Leuwipanjang,ROAD_CLOSED,"[107.595139, -6.947390999999995]",60,2022-07-06
5930357,2022-07-06 00:00:00.000,"32.73",KOTA BANDUNG,N11 Flyover Kopo-Cibaduyut,ROAD_CLOSED,"[107.59261600000005, -6.946127500000003]",120,2022-07-06
5930358,2022-07-06 00:00:00.000,"32.73",KOTA BANDUNG,,ROAD_CLOSED,"[107.69066199999999, -6.958103499999996]",120,2022-07-06
5930365,2022-07-06 01:00:00.000,"32.73",KOTA BANDUNG,N11 Flyover Kopo-Cibaduyut,ROAD_CLOSED,"[107.59261600000005, -6.946127500000002]",122,2022-07-06
5930359,2022-07-06 01:00:00.000,"32.73",KOTA BANDUNG,Batununggal Indah 2,WEATHERHAZARD,"[107.62634049999998, -6.962361499999999]",122,2022-07-06
5930366,2022-07-06 01:00:00.000,"32.73",KOTA BANDUNG,,ROAD_CLOSED,"[107.69066199999999, -6.958103499999999]",122,2022-07-06
5930360,2022-07-06 01:00:00.000,"32.73",KOTA BANDUNG,Cibaduyut Raya,ROAD_CLOSED,"[107.59526000000004, -6.9472129999999925]",61,2022-07-06
5930361,2022-07-06 01:00:00.000,"32.73",KOTA BANDUNG,Gerbang Tol Gede Bage,ROAD_CLOSED,"[107.6905799999998, -6.959956500000007]",122,2022-07-06
5930362,2022-07-06 01:00:00.000,"32.73",KOTA BANDUNG,Jenderal Ahmad Yani,WEATHERHAZARD,"[107.65976500000006, -6.902228999999994]",61,2022-07-06
5930363,2022-07-06 01:00:00.000,"32.73",KOTA BANDUNG,KH Wahid Hasyim,ROAD_CLOSED,"[107.58966274999973, -6.945608999999994]",244,2022-07-06
5930364,2022-07-06 01:00:00.000,"32.73",KOTA BANDUNG,Leuwipanjang,ROAD_CLOSED,"[107.595139, -6.947390999999995]",61,2022-07-06
5930374,2022-07-06 02:00:00.000,"32.73",KOTA BANDUNG,,ROAD_CLOSED,"[107.69066199999999, -6.958103499999996]",120,2022-07-06
5930367,2022-07-06 02:00:00.000,"32.73",KOTA BANDUNG,Batununggal Indah 2,WEATHERHAZARD,"[107.62634049999997, -6.962361499999999]",120,2022-07-06
5930368,2022-07-06 02:00:00.000,"32.73",KOTA BANDUNG,Cibaduyut Raya,ROAD_CLOSED,"[107.59526000000004, -6.9472129999999925]",60,2022-07-06
5930369,2022-07-06 02:00:00.000,"32.73",KOTA BANDUNG,Gerbang Tol Gede Bage,ROAD_CLOSED,"[107.6905799999998, -6.959956500000006]",120,2022-07-06
5930370,2022-07-06 02:00:00.000,"32.73",KOTA BANDUNG,Jenderal Ahmad Yani,WEATHERHAZARD,"[107.65976500000006, -6.902228999999994]",60,2022-07-06
5930371,2022-07-06 02:00:00.000,"32.73",KOTA BANDUNG,KH Wahid Hasyim,ROAD_CLOSED,"[107.58966274999975, -6.945608999999997]",240,2022-07-06
5930372,2022-07-06 02:00:00.000,"32.73",KOTA BANDUNG,Leuwipanjang,ROAD_CLOSED,"[107.595139, -6.947390999999995]",60,2022-07-06
5930373,2022-07-06 02:00:00.000,"32.73",KOTA BANDUNG,N11 Flyover Kopo-Cibaduyut,ROAD_CLOSED,"[107.59261600000006, -6.946127500000002]",120,2022-07-06
5930375,2022-07-06 03:00:00.000,"32.73",KOTA BANDUNG,Batununggal Indah 2,WEATHERHAZARD,"[107.62634049999998, -6.962361499999998]",120,2022-07-06
5930376,2022-07-06 03:00:00.000,"32.73",KOTA BANDUNG,Cibaduyut Raya,ROAD_CLOSED,"[107.59526000000004, -6.9472129999999925]",60,2022-07-06
5930382,2022-07-06 03:00:00.000,"32.73",KOTA BANDUNG,,ROAD_CLOSED,"[107.69066199999999, -6.958103499999996]",120,2022-07-06
5930377,2022-07-06 03:00:00.000,"32.73",KOTA BANDUNG,Gerbang Tol Gede Bage,ROAD_CLOSED,"[107.69057999999981, -6.959956500000006]",120,2022-07-06
5930378,2022-07-06 03:00:00.000,"32.73",KOTA BANDUNG,Jenderal Ahmad Yani,WEATHERHAZARD,"[107.65976500000006, -6.902228999999994]",60,2022-07-06
5930379,2022-07-06 03:00:00.000,"32.73",KOTA BANDUNG,KH Wahid Hasyim,ROAD_CLOSED,"[107.58966274999973, -6.945608999999994]",240,2022-07-06
5930380,2022-07-06 03:00:00.000,"32.73",KOTA BANDUNG,Leuwipanjang,ROAD_CLOSED,"[107.595139, -6.947390999999995]",60,2022-07-06
5930381,2022-07-06 03:00:00.000,"32.73",KOTA BANDUNG,N11 Flyover Kopo-Cibaduyut,ROAD_CLOSED,"[107.59261600000005, -6.946127500000003]",120,2022-07-06
5930388,2022-07-06 04:00:00.000,"32.73",KOTA BANDUNG,Leuwipanjang,ROAD_CLOSED,"[107.595139, -6.947390999999995]",60,2022-07-06
5930387,2022-07-06 04:00:00.000,"32.73",KOTA BANDUNG,KH Wahid Hasyim,ROAD_CLOSED,"[107.58966274999976, -6.945608999999994]",240,2022-07-06
5930389,2022-07-06 04:00:00.000,"32.73",KOTA BANDUNG,N11 Flyover Kopo-Cibaduyut,ROAD_CLOSED,"[107.59261600000006, -6.946127500000001]",120,2022-07-06
5930391,2022-07-06 04:00:00.000,"32.73",KOTA BANDUNG,,ROAD_CLOSED,"[107.69066199999999, -6.9581034999999964]",120,2022-07-06
5930390,2022-07-06 04:00:00.000,"32.73",KOTA BANDUNG,Pagarsih,JAM,"[107.59087900000003, -6.922394999999998]",18,2022-07-06
5930383,2022-07-06 04:00:00.000,"32.73",KOTA BANDUNG,Batununggal Indah 2,WEATHERHAZARD,"[107.6263405, -6.9623615]",120,2022-07-06
5930384,2022-07-06 04:00:00.000,"32.73",KOTA BANDUNG,Cibaduyut Raya,ROAD_CLOSED,"[107.59526000000004, -6.9472129999999925]",60,2022-07-06
5930385,2022-07-06 04:00:00.000,"32.73",KOTA BANDUNG,Gerbang Tol Gede Bage,ROAD_CLOSED,"[107.69057999999981, -6.959956500000006]",120,2022-07-06
5930386,2022-07-06 04:00:00.000,"32.73",KOTA BANDUNG,Jenderal Ahmad Yani,WEATHERHAZARD,"[107.65976500000006, -6.902228999999994]",60,2022-07-06
5930397,2022-07-06 05:00:00.000,"32.73",KOTA BANDUNG,Leuwipanjang,ROAD_CLOSED,"[107.595139, -6.947390999999995]",60,2022-07-06
5930392,2022-07-06 05:00:00.000,"32.73",KOTA BANDUNG,Batununggal Indah 2,WEATHERHAZARD,"[107.62634049999997, -6.962361499999999]",120,2022-07-06
5930393,2022-07-06 05:00:00.000,"32.73",KOTA BANDUNG,Cibaduyut Raya,ROAD_CLOSED,"[107.59526000000004, -6.9472129999999925]",60,2022-07-06
5930394,2022-07-06 05:00:00.000,"32.73",KOTA BANDUNG,Gerbang Tol Gede Bage,ROAD_CLOSED,"[107.69057999999978, -6.959956500000006]",120,2022-07-06
5930395,2022-07-06 05:00:00.000,"32.73",KOTA BANDUNG,Jenderal Ahmad Yani,WEATHERHAZARD,"[107.65976500000006, -6.902228999999994]",60,2022-07-06
5930396,2022-07-06 05:00:00.000,"32.73",KOTA BANDUNG,KH Wahid Hasyim,ROAD_CLOSED,"[107.58966274999976, -6.945608999999994]",240,2022-07-06
5930398,2022-07-06 05:00:00.000,"32.73",KOTA BANDUNG,N11 Flyover Kopo-Cibaduyut,ROAD_CLOSED,"[107.59261600000008, -6.9461275]",120,2022-07-06
5930399,2022-07-06 05:00:00.000,"32.73",KOTA BANDUNG,Pagarsih,JAM,"[107.59087900000002, -6.922394999999999]",14,2022-07-06
5930400,2022-07-06 05:00:00.000,"32.73",KOTA BANDUNG,,ROAD_CLOSED,"[107.69066199999999, -6.9581034999999964]",120,2022-07-06
5930408,2022-07-06 06:00:00.000,"32.73",KOTA BANDUNG,Leuwipanjang,ROAD_CLOSED,"[107.595139, -6.947390999999995]",60,2022-07-06
5930410,2022-07-06 06:00:00.000,"32.73",KOTA BANDUNG,,ROAD_CLOSED,"[107.69066199999999, -6.958103499999995]",120,2022-07-06
5930409,2022-07-06 06:00:00.000,"32.73",KOTA BANDUNG,N11 Flyover Kopo-Cibaduyut,ROAD_CLOSED,"[107.59261600000009, -6.9461275]",120,2022-07-06
5930401,2022-07-06 06:00:00.000,"32.73",KOTA BANDUNG,Batununggal Indah 2,WEATHERHAZARD,"[107.62634049999997, -6.962361499999999]",120,2022-07-06
5930402,2022-07-06 06:00:00.000,"32.73",KOTA BANDUNG,Cibaduyut Raya,ROAD_CLOSED,"[107.59526000000004, -6.9472129999999925]",60,2022-07-06
5930403,2022-07-06 06:00:00.000,"32.73",KOTA BANDUNG,Gerbang Tol Gede Bage,ROAD_CLOSED,"[107.69057999999978, -6.959956500000006]",120,2022-07-06
5930404,2022-07-06 06:00:00.000,"32.73",KOTA BANDUNG,Jenderal Ahmad Yani,WEATHERHAZARD,"[107.65976500000006, -6.902228999999994]",60,2022-07-06
5930405,2022-07-06 06:00:00.000,"32.73",KOTA BANDUNG,Jenderal AH Nasution,JAM,"[107.70117723529403, -6.913920627450981]",51,2022-07-06
